Data,Vendas,Receita,Despesas_de_Marketing,Numero_de_Clientes,Canal_de_Venda,Regiao,Produto
2023-01-01,12.215111165022652,18.85813339802718,0.32151111650226527,13,E-commerce,Centro-Oeste,Cosméticos
2023-01-01,6.215111165022652,8.858133398027181,4.321511116502265,11,E-commerce,North,Livros
2023-01-01,6.215111165022652,17.85813339802718,4.321511116502265,11,Mídia Social,North,Alimentos
2023-01-01,12.215111165022652,14.858133398027181,-2.6784888834977347,12,Mídia Social,East,Roupas
2023-01-01,9.215111165022652,21.85813339802718,0.32151111650226527,13,Loja Física,East,Eletrônicos
2023-01-01,9.215111165022652,19.85813339802718,-0.6784888834977347,14,E-commerce,South,Alimentos
2023-01-01,4.215111165022652,-13.141866601972819,-0.6784888834977347,11,E-commerce,East,Roupas
2023-01-01,10.215111165022652,12.858133398027181,4.321511116502265,14,Loja Física,South,Alimentos
2023-01-01,8.215111165022652,16.85813339802718,-1.6784888834977347,11,Mídia Social,Centro-Oeste,Livros
2023-01-01,7.215111165022652,-11.141866601972819,-3.6784888834977347,10,Mídia Social,South,Alimentos
2023-01-01,5.215111165022652,17.85813339802718,-0.6784888834977347,11,Loja Física,Centro-Oeste,Eletrônicos
2023-01-01,6.215111165022652,-0.14186660197281764,-3.6784888834977347,10,Loja Física,North,Roupas
2023-01-02,8.429823993687233,-3.884211207575321,4.342982399368723,23,E-commerce,East,Roupas
2023-01-02,6.429823993687233,-9.884211207575321,-0.6570176006312767,23,Loja Física,North,Cosméticos
2023-01-02,9.429823993687233,6.115788792424679,-3.657017600631277,22,E-commerce,South,Eletrônicos
2023-01-02,8.429823993687233,9.115788792424679,0.34298239936872327,24,Mídia Social,Centro-Oeste,Alimentos
2023-01-02,8.429823993687233,5.115788792424679,2.342982399368723,22,Mídia Social,North,Eletrônicos
2023-01-02,9.429823993687233,1.115788792424679,-1.6570176006312767,20,Loja Física,East,Cosméticos
2023-01-02,10.429823993687233,10.115788792424679,-3.657017600631277,23,Loja Física,Centro-Oeste,Cosméticos
2023-01-02,7.429823993687233,10.115788792424679,0.34298239936872327,20,E-commerce,Centro-Oeste,Eletrônicos
2023-01-02,3.4298239936872323,4.115788792424679,-3.657017600631277,21,Loja Física,South,Cosméticos
2023-01-02,12.429823993687233,-7.884211207575321,0.34298239936872327,21,Mídia Social,East,Alimentos
2023-01-02,6.429823993687233,16.11578879242468,-4.657017600631277,22,E-commerce,North,Livros
2023-01-02,9.429823993687233,0.11578879242467899,-3.657017600631277,22,Mídia Social,South,Roupas
2023-01-03,4.643740887262904,-0.6275109352845156,1.3643740887262905,30,E-commerce,North,Alimentos
